language,total_tokens,unique_tokens,ttr
dutch,1233880,12239,0.009919
english,39806800,69245,0.001740
french,46112920,78008,0.001692
german,43483620,157117,0.003613
italian,29329480,98793,0.003368
russian,4045700,59329,0.014665
spanish,12534120,66598,0.005313
ukrainian,10272820,94833,0.009231
